id,source,title,company,location,description,url,date_collected,date_posted,pre_label,label,labeled_at
4aa671f29979,adzuna,Data Analytics Engineer,LB&Partners SA,"Le Mont-sur-Lausanne, Lausanne","Analytics Engineer (H/F/X)À propos de LB&Partners SALB&Partners SA est un cabinet suisse spécialisé dans de la performance des fabricants travaillons avec de grands groupes pour améliorer leur EBIT grâce à une combinaison unique : expertise métier, méthodologie avancée et solutions technologiques développées en équipes conçoivent des outils permettant d analyser, modéliser et optimiser des données industrielles LB&Partners, c est intégrer une structure à taille humaine, dynamique et innovante, …",https://www.adzuna.ch/land/ad/5650914988?se=Km9OYkMW8RGgd7z4QZfmcw&utm_medium=api&utm_source=239784f1&v=B704E27D8704BADB101AD4601E75407468F8BC16,2026-03-02,2026-03-02,BI_ANALYTICS,BI_ANALYTICS,2026-03-02T16:01:19.524785
b777a6baffe2,adzuna,Data Engineer,Futurae,Schweiz,"As a Data Engineer at Futurae, you will be the architect of our data backbone, designing and scaling the systems that power our real-time security insights. This is a pivotal role for a hands-on expert who thrives on technical excellence and data integrity. In this role, you will lead the end-to-end development of our data infrastructure. You will bridge the gap between raw event data and actionable intelligence, building high-throughput pipelines and robust APIs that serve our engineering and …",https://www.adzuna.ch/details/5627592505?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-13,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:29.736580
b79bb8c3bfa6,adzuna,Data Engineer,Expleo,Zürich,"Expleo bietet ein einzigartiges Spektrum an integrierten Engineering-, Qualitäts- und strategischen Beratungsleistungen für die digitale Transformation. Vor dem Hintergrund einer beispiellosen technologischen Beschleunigung sind wir der vertrauenswürdige Partner für innovative Unternehmen. Wir helfen ihnen, Wettbewerbsvorteile zu entwickeln und das tägliche Leben von Millionen von Menschen zu verbessern. Wir suchen für unseren Kunden erfahrene Data Engineers , die robuste Datenlösungen in einem…",https://www.adzuna.ch/details/5630611177?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-15,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:34.131587
544d52bdd0c9,adzuna,Data Engineer,"Cartier, Branch of Richemont International SA",Schweiz,"Richemont, one of the world leaders in the luxury sector, has various Houses specializing in jewelry, watches and high-end accessories. Each Maison proudly embodies a tradition of style, quality and craftsmanship and Richemont strives to preserve the heritage and identity specific to each of them. At the same time, we are committed to innovating and designing new products in line with the values ​​of our Houses, through a process of permanent creativity. “Join us to unleash the power of data, l…",https://www.adzuna.ch/details/5589840094?utm_medium=api&utm_source=239784f1,2026-03-02,2026-01-17,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:37.186615
4064db265f45,adzuna,Data Engineer,Garda Capital Partners,Schweiz,"Garda Capital Partners (Garda) is a multi-billion dollar alternative investment firm with over 22 years of experience deploying relative value strategies across fixed income markets for institutional investors. Garda's primary offices are located in Wayzata, New York City, West Palm Beach, Geneva, Zug, Copenhagen, Singapore, and Scottsdale. Garda is looking for a Data Engineer in its Research and Technology (R&T) group based out of our Geneva Office. The R&T team is responsible for all of the f…",https://www.adzuna.ch/details/5647705641?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-27,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:40.248885
3a0997bc3d83,adzuna,Senior Data Engineer,Trust in SODA,Zürich,"Senior Data Engineer – Contract Position – HIRING ASAP Location: Zurich Switzerland (3 days onsite per week, 2 days remote) Start Date: ASAP Duration: 12 months (extension possible) Maximum Rate: CHF 750 – CHF 855 per day About the Role Major transformation project requires support from experienced Data Engineer. You are a result-driven experienced Data Engineer, passionate about your craft and eager to grow further, comfortable meeting (sometimes tight) deadlines and confidently taking ownersh…",https://www.adzuna.ch/details/5613792262?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-04,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:41.870575
bfdcd9aa98ce,adzuna,Senior Data Engineer,ZYTLYN Technologies,Schweiz,"Who we are ZYTLYN Technologies empowers companies across the $11 trillion travel industry to shape the future with predictive AI solutions that augment commercial planning, sales, marketing, retailing and operations. We work with some of the largest travel brands in the world, and our vision is to answer highly detailed and granular questions about the future of travel, such as demand, supply, market fluctuations and pricing. Our core focus is on airlines, airports, travel agencies, destination…",https://www.adzuna.ch/details/5401503157?utm_medium=api&utm_source=239784f1,2026-03-02,2025-09-16,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:45.245887
910649c2f241,adzuna,AI & Data Engineer,UMB AG,Zürich,"Stellenbeschreibung Du konzipierst, implementierst skalierbare Datenpipelines für strukturierte und unstrukturierte Daten und stellst damit die Grundlage für Analytics-, Reporting- und AI-Use Cases sicher. Du leitest die Entwicklung und Umsetzung von modernen Datenplattform-Lösungen auf Basis von Databricks und Microsoft Fabric, von der Architektur über die Implementierung bis zur Übergabe an den Betrieb. Dabei übernimmst Du die Verantwortung und fachliche Leitung von Kundenprojekten in untersc…",https://www.adzuna.ch/details/5616376353?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-06,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:47.521845
38e3d370652a,adzuna,Data Engineer (a),Pilatus Aircraft Ltd,"Stans, Nidwalden","Data Engineer (a) Informatik Data & Analytics Vollzeit Stans, Schweiz Flieg mit uns in die Zukunft und werde Teil des Teams bei einem der innovativsten Flugzeughersteller der Welt. Deine Aufgaben Definition, Weiterentwicklung und Wartung der Data Warehouse- und Data Lakehouse-Architektur sowie der zugehörigen Infrastruktur Konzeption von Datenmodellen für das Data Warehouse sowie Aufbau und Weiterentwicklung von End-to-End Datenpipelines Konzeption von Architektur und Infrastruktur für Lösungen…",https://www.adzuna.ch/details/5621841954?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-09,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:49.605180
27a7524835c3,adzuna,Flight Data Engineer,Job-Room,"Glarus Nord, Glarus","About the Company: ANAVIA specializes in the design, development & manufacturing of vertical takeoff & landing (VTOL) systems of up to 500 kilograms. The company offers industry leading unmanned helicopter systems for various mission profiles, such as Surveillance & Reconnaissance, Inspection or Mapping & Cargo. As a Flight Data Engineer at Anavia, you will be responsible for the design, integration, and testing of unmanned helicopter systems. You will work closely with cross-functional teams t…",https://www.adzuna.ch/details/5634124275?utm_medium=api&utm_source=239784f1,2026-03-02,2026-02-18,DATA_ENGINEERING,DATA_ENGINEERING,2026-03-02T16:01:53.017877
